PAPEL	COTAÇÃO	P/L	P/VP	PSR	DIV.YIELD	P/ATIVO	P/CAP.GIRO	P/EBIT	P/ATIV CIRC.LIQ	EV/EBIT	EV/EBITDA	MRG EBIT	MRG. LÍQ.	LIQ. CORR.	ROIC	ROE	LIQ.2MESES	PATRIM. LÍQ	DÍV.LÍQ/ PATRIM.	CRESC. REC.5A	DÍVIDA LÍQUIDA/EBITDA	VALOR DE MERCADO
CSTB4	147,69	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	40,85%	28,98%	2,60	22,40%	20,11%	0	8.420.670.000	0,14	31,91%	""	0
CFLU4	1.000,00	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	8,88%	10,72%	1,10	17,68%	32,15%	0	60.351.000	0,06	8,14%	""	0
MNSA3	0,42	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	-208,15%	-362,66%	3,63	-13,50%	145,70%	0	-9.105.000	-6,52	-41,11%	""	0
PMET3	0,00	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	4,10%	0	-290.863.000	0,00	37,74%	""	0
MNSA4	0,47	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	-208,15%	-362,66%	3,63	-13,50%	145,70%	0	-9.105.000	-6,52	-41,11%	""	0
IVTT3	0,00	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	-0,40%	0	1.083.050.000	0,00	20,67%	""	0
CSTB3	150,00	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	40,85%	28,98%	2,60	22,40%	20,11%	0	8.420.670.000	0,14	31,91%	""	0
CLAN3	0,00	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	-1,05%	0	1.012.240.000	0,00	-63,96%	""	0
PORP4	2,40	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	-2,08%	0	22.399.000	0,00	13,66%	""	0
POPR4	10,17	0,00	0,00	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	8,66%	5,65%	1,08	15,25%	19,93%	0	545.803.000	0,82	30,93%	""	0
GNDI3	66,95	-3.584,82	5,84	3,423	2,39%	2,378	79,65	87,05	-6,21	91,13	50,88	3,93%	-0,09%	1,17	3,09%	-0,16%	0	7.116.080.000	0,53	25,23%	2,28	41.526.500.000
SEER3	5,09	-563,85	0,54	0,331	0,00%	0,190	2,57	2,17	-0,52	4,13	2,38	15,27%	-0,06%	1,35	9,94%	-0,10%	3.187.610	1.208.460.000	0,80	12,57%	1,13	655.195.000
PLDN4	486,00	-553,07	1,08	0,919	0,00%	0,611	1,07	-75,56	3,10	-33,12	-33,12	-1,22%	-0,17%	10,81	-1,27%	-0,20%	0	289.939.000	0,01	10,26%	42,45	313.593.000
LCSA4	35,09	-337,52	-228,00	79,738	0,00%	125,308	-202,27	-505,80	-96,61	-506,56	-506,56	-15,77%	-23,63%	0,29	-28,74%	67,55%	0	-377.568.000	-0,35	6.354,07%	-0,77	86.084.700.000
BHGR3	19,10	-272,16	1,10	3,613	0,00%	0,855	-194,45	23,70	-8,56	25,95	14,20	15,24%	-1,31%	0,96	3,93%	-0,40%	0	1.077.600.000	0,20	20,67%	1,23	1.186.900.000
DMMO3	1,76	-258,65	-1,72	2,854	0,00%	3,346	11,90	6,37	-1,37	5,90	5,42	44,81%	-1,10%	2,25	70,39%	0,66%	0	-553.275.000	0,00	-17,37%	-0,43	949.254.000
RJCP3	0,01	-224,70	0,65	0,000	0,00%	0,619	0,00	-522,94	0,00	-523,96	-917,32	0,00%	0,00%	0,00	0,00%	-0,29%	0	17.287.200	0,00	0,00%	-1,79	11.210.700
ABYA3	4,91	-214,80	1,76	2,055	0,00%	0,527	1,98	19,96	-2,75	33,67	33,67	10,29%	-0,96%	2,09	2,78%	-0,82%	0	292.060.000	1,31	16,41%	13,70	515.088.000
PITI4	1,28	-204,74	0,00	0,000	0,00%	0,000	0,00	-2.637,65	0,00	-2.637,65	111,07	0,00%	0,00%	0,00	0,00%	0,00%	0	0	0,00	-29,63%	0,00	2.969.990.000
LCSA3	12,50	-120,23	-81,22	28,405	0,00%	44,638	-72,05	-180,18	-34,41	-180,95	-180,95	-15,77%	-23,63%	0,29	-28,74%	67,55%	0	-377.568.000	-0,35	6.354,07%	-0,77	30.665.700.000
MAGG3	59,40	-119,98	1,32	0,684	0,00%	0,440	9,32	4,07	-1,55	6,41	5,34	16,82%	-0,57%	1,14	14,05%	-1,10%	0	2.246.130.000	1,03	9,27%	1,95	2.972.380.000
SQIA3	27,37	-110,33	3,70	3,592	0,00%	1,490	25,87	62,33	-3,84	67,32	18,50	5,76%	-2,88%	1,43	2,81%	-3,35%	0	650.717.000	0,65	46,32%	1,37	2.406.970.000
FRIO3	280,00	-109,36	5,12	0,804	0,00%	0,889	7,27	20,52	-10,23	27,72	15,28	3,92%	-1,03%	1,21	6,67%	-4,69%	237.815	343.433.000	2,49	8,23%	3,97	1.760.080.000
USIM6	11,00	-94,45	0,58	0,533	2,57%	0,346	1,09	23,41	3,25	24,79	8,04	2,28%	0,01%	3,64	1,90%	-0,61%	28	23.881.800.000	0,28	7,80%	0,45	13.783.900.000
LINX3	37,40	-90,95	4,38	7,885	1,52%	2,745	11,96	53,17	47,06	51,49	22,97	14,83%	-8,67%	2,14	6,82%	-4,81%	0	1.619.010.000	0,22	15,54%	-0,75	7.083.900.000
BNCA3	70,30	-90,30	2,45	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	-2,72%	0	3.068.150.000	0,00	2,41%	""	7.524.630.000
OPCT3	5,74	-73,58	1,15	0,667	0,00%	0,379	2,53	4,23	-1,11	8,52	4,35	15,77%	-0,91%	1,82	11,33%	-1,57%	1.894.540	994.268.000	1,71	26,13%	2,19	1.147.770.000
AMIL3	32,20	-73,28	7,70	1,129	0,00%	2,003	-16,95	136,58	-5,43	138,61	50,13	0,83%	-1,53%	0,75	2,22%	-10,51%	0	1.532.980.000	1,24	28,47%	0,73	11.809.200.000
SCLO3	14,10	-71,62	-0,10	0,000	0,00%	0,238	-0,09	-46,20	-0,09	-115,36	-115,36	0,00%	0,00%	0,19	-0,59%	0,14%	0	-131.145.000	-0,21	174,06%	-69,16	13.536.000
AMBP3	120,00	-69,68	12,31	3,125	0,00%	1,368	4,89	18,55	-3,53	23,13	14,67	16,85%	-2,68%	2,91	10,37%	-17,67%	12.636.800	1.628.300.000	5,42	70,90%	2,91	20.045.000.000
CLSA3	10,51	-69,04	2,80	4,162	0,00%	2,272	5,68	-26,77	5,93	-21,96	-60,36	-15,55%	-6,03%	3,32	-15,62%	-4,06%	37.872.400	704.683.000	0,01	7,59%	13,20	1.975.100.000
