PAPEL	SEGMENTO	COTAÇÃO	FFO YIELD	DIVIDEND YIELD	P/VP	VALOR DE MERCADO	LIQUIDEZ	QTD DE IMÓVEIS	PREÇO DO M2	ALUGUEL POR M2	CAP RATE	VACÂNCIA MÉDIA
AAZQ11	Títulos e Val. Mob.	6,36	22,53%	19,67%	0,74	152.877.000	643.680	0	0,00	0,00	0,00%	0,00%	""
ABCP11	Shoppings	71,00	10,04%	9,26%	0,66	334.345.000	54.146	1	4.673,63	571,37	12,23%	11,82%	""
AEFI11	Outros	174,90	9,04%	0,00%	1,56	411.893.000	0	7	0,00	398,61	0,00%	0,00%	""
AFCR11	Híbrido	103,15	10,93%	0,00%	1,09	498.867.000	0	0	0,00	0,00	0,00%	0,00%	""
AFHI11	Títulos e Val. Mob.	88,00	10,68%	12,75%	0,96	400.894.000	1.198.030	0	0,00	0,00	0,00%	0,00%	""
AFOF11	Títulos e Val. Mob.	91,60	0,86%	0,00%	12,23	1.390.540.000	0	0	0,00	0,00	0,00%	0,00%	""
AGCX11	Outros	1.235,50	0,59%	0,00%	11,48	19.291.500.000	0	72	101.355,00	741,05	0,73%	5,39%	""
AGRX11	Híbrido	7,55	24,56%	16,60%	0,74	135.169.000	249.492	0	0,00	0,00	0,00%	0,00%	""
AIEC11	Lajes Corporativas	45,62	20,72%	18,13%	0,61	220.116.000	662.240	2	9.223,81	1.913,15	20,74%	0,00%	""
AJFI11	Títulos e Val. Mob.	6,84	11,27%	12,17%	0,56	216.322.000	549.974	6	976,61	105,41	10,79%	6,72%	""
ALMI11	Lajes Corporativas	600,00	5,44%	4,97%	0,29	66.706.200	35.687	1	1.454,85	215,94	14,84%	55,40%	""
ALZC11	Títulos e Val. Mob.	91,00	8,25%	12,94%	0,94	61.918.800	106.115	0	0,00	0,00	0,00%	0,00%	""
ALZM11	Títulos e Val. Mob.	6,40	12,27%	15,95%	0,85	97.155.500	53.753	0	0,00	0,00	0,00%	0,00%	""
ALZR11	Híbrido	96,20	7,77%	9,42%	0,93	1.176.200.000	1.718.410	16	4.574,97	362,80	7,93%	0,00%	""
ALZT11	Títulos e Val. Mob.	33,00	20,72%	1,20%	0,81	16.500.000	98	0	0,00	0,00	0,00%	0,00%	""
ANCR11	Shoppings	65,00	13,58%	12,17%	0,67	1.737.780.000	390	7	7.917,11	1.347,77	17,02%	4,42%	""
APTO11	Híbrido	8,33	13,08%	13,99%	0,86	38.419.900	17.350	3	16.219,80	1.219,96	7,52%	0,00%	""
APXM11	Híbrido	90,01	4,83%	6,97%	0,86	254.651.000	78.591	1	1.662,79	154,90	9,32%	10,58%	""
ARCT11	Híbrido	87,13	-61,50%	0,00%	0,87	368.999.000	0	11	1.492,32	130,14	8,72%	0,00%	""
AROA11	Outros	0,98	7,37%	7,45%	0,99	164.568.000	4.310	6	1.254,71	103,55	8,25%	0,00%	""
ARRI11	Títulos e Val. Mob.	7,40	7,79%	8,98%	0,86	145.387.000	550.907	0	0,00	0,00	0,00%	0,00%	""
ARXD11	Títulos e Val. Mob.	6,81	12,33%	17,74%	0,72	61.366.100	107.502	0	0,00	0,00	0,00%	0,00%	""
ASMT11	Híbrido	33,00	10,22%	0,00%	0,35	35.681.500	5.433	3	2.955,78	751,37	25,42%	0,00%	""
ASRF11	Híbrido	10.888,00	-7,44%	0,00%	1,00	32.032.500	532	2	4.221,85	0,00	0,00%	0,00%	""
ATSA11	Shoppings	52,20	3,40%	4,24%	0,69	91.409.600	6.137	1	2.691,52	108,93	4,05%	17,42%	""
AURB11	Logística	71,76	-0,73%	0,00%	0,96	64.477.400	9	2	1.945,43	115,80	5,95%	28,94%	""
AZPL11	Logística	6,37	-0,04%	0,00%	0,64	115.995.000	545.815	0	0,00	0,00	0,00%	0,00%	""
BARI11	Títulos e Val. Mob.	60,91	14,95%	15,88%	0,68	282.269.000	491.034	3	2.711,53	0,00	0,00%	0,00%	""
BBFI11	Lajes Corporativas	349,00	207,23%	63,49%	0,49	45.370.000	43.949	1	1.061,86	2.484,95	234,02%	100,00%	""
BBFO11	Títulos e Val. Mob.	56,20	20,95%	13,77%	0,79	225.019.000	354.289	0	0,00	0,00	0,00%	0,00%	""
BBGO11	Títulos e Val. Mob.	62,00	18,56%	14,46%	0,68	248.320.000	318.862	0	0,00	0,00	0,00%	0,00%	""
BBIG11	Shoppings	6,69	1,99%	4,49%	0,69	663.119.000	1.327.690	0	0,00	0,00	0,00%	0,00%	""
BBPO11	Lajes Corporativas	96,75	10,42%	0,00%	0,95	1.540.230.000	0	61	3.690,03	479,56	13,00%	1,44%	""
BBRC11	Outros	94,99	14,03%	13,76%	0,90	151.034.000	142.405	20	9.237,27	1.585,84	17,17%	0,00%	""
BBVJ11	Lajes Corporativas	62,99	2,64%	0,00%	0,86	197.789.000	0	1	10.221,70	574,62	5,62%	48,90%	""
BCFF11	Títulos e Val. Mob.	7,35	11,04%	9,66%	0,84	1.480.960.000	0	0	0,00	0,00	0,00%	0,00%	""
